                                                                                                                                                                               Mode Training Phase,,,,,,,,,,
                                                                                                  Dataset1(IV2),,,,,,                                                                                                   Dataset2(IV2),,,,
Machine Learning Algorithms(IV1),                              Python,,                               R,,p-value,                              Python,,                               R,,p-value
,Package,DRAM ,Package,DRAM ,,Package,DRAM ,Package,DRAM ,
Decision Tree,513.95,48.08,46.34,4.3,0.002,11303.81,6780.85,57.59,34.1,0.002
Gaussian Naive Bayes,0.63,0.09,1.99,0.19,0.002,0.84,0.49,9.6,5.66,0.002
Logistic Regression,4.74,0.33,226.63,21.84,0.002,6.93,4.44,528.34,237,0.002
Random Forest ,129.82,12.43,794.97,66.18,0.002,247.34,301.39,1037.92,169.45,0.002
Support Vector Machine,514.83,48.05,2343.45,182.67,0.002,5032.91,6276,76371.35,4120.02,0.19
                                                                                                                                                                               Training Phase,,,,,,,,,,
Decision Tree,182.38,16.87,2.25,0.23,0.002,4218.79,2527.05,6.5,3.72,0.002
Gaussian Naive Bayes,0.3,0.05,0.21,0.02,0.002,0.37,0.22,0.49,0.29,0.046
Logistic Regression,0.71,0.08,3.09,0.32,0.002,0.16,0.17,5.02,1.3,0.002
Random Forest ,3.41,0.46,39.15,3.33,0.002,4.71,5.44,191.65,22.67,0.002
Support Vector Machine,182.44,16.88,725.12,56.01,0.002,1880.27,2341.05,14151.96,1132.35,0.002